DATA,DIA,TIPO,DESCRICAO,ESTADO,CODIGO_MUNICIPIO
08/09/2021,Padroeira de Tocantins,ESTADUAL,"O nascimento de Nossa Senhora ou a Natividade de Maria é uma festa litúrgica das Igrejas Católica e Anglicana, celebrada no dia 8 de setembro, nove meses após a sua Imaculada Conceição, celebrada em 8 de dezembro.",TO,
05/10/2021,Aniversário de Tocantins,ESTADUAL,"Em 5 de outubro de 1988, o norte de Goiás foi emancipado, passando a se chamar Tocantins. Em 1º de janeiro de 1989, a Unidade Federativa do Tocantins foi oficialmente instalada.",TO,
15/02/2021,Carnaval,FACULTATIVO,"Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",,
15/02/2021,Segunda de Carnaval,FACULTATIVO,Ponto Facultativo nas repartições públicas,,
16/02/2021,Carnaval,FACULTATIVO,"Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",,
16/02/2021,Terça de Carnaval,FACULTATIVO,"Feriado apenas no Comércio, segundo Lei nº 5913, de 21 de junho de 1991",,
17/02/2021,Carnaval,FACULTATIVO,Ponto Facultativo até às 14h.,,
17/02/2021,Quarta Feira de Cinzas,FACULTATIVO,Ponto Facultativo nas repartições públicas,,
28/02/2021,Facultativo,FACULTATIVO,"aniversário de morte de José Pedro Dias, fundador de Juara",MT,5105101.0
19/03/2021,São José,FACULTATIVO,Padroeiro do Estado do Ceará,CE,
19/03/2021,São José,FACULTATIVO,Dia de São José padroeiro de Mafra,SC,4210100.0
29/03/2021,Aniversário da Cidade,FACULTATIVO,"Fundação de Curitiba - Aniversário da Cidade (Ponto Facultativo), conforme Lei Municipal nº229,26/12/49",PR,4106902.0
01/04/2021,Quinta-feira santa,FACULTATIVO,,,
03/06/2021,Corpus Christi,FACULTATIVO,"Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.",,
26/07/2021,Fundação da Cidade de Goiás,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",GO,5208905.0
15/10/2021,Professor,FACULTATIVO,"FERIADO ESCOLAR - No dia 15 de outubro de 1827 (dia consagrado à educadora Santa Teresa de Ávila), o Imperador do Brasil, Pedro I, baixou um Decreto Imperial que criou o Ensino Elementar no Brasil. Pelo decreto, ""todas as cidades, vilas e lugarejos teriam suas escolas de primeiras letras""",,
24/10/2021,Pedra fundamental de Goiânia,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",GO,
28/10/2021,Servidor Público,FACULTATIVO,Dia do Servidor Público - art. 249 da Lei Municipal nº 2.215/1991. O dia do servidor público é feriado apenas para funcionários públicos.,,
20/11/2021,Consciência Negra,FACULTATIVO,"Lei Municipal No 1985, de 2009. Prefeitura não funcionará. O Comércio deverá Funcionar normalmente",,
20/11/2021,Consciência Negra,FACULTATIVO,Dia da Consciência Negra. Ponto Facultativo de acordo com a Lei Municipal 2484/2008,,
31/12/2021,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO,De acordo com o Decreto nº 18882-E de 01 de junho de 2015,,
14/12/2021,Aniversário de Jundiaí,FACULTATIVO,Data comemorativa e ponto facultativo,SP,3525904.0
01/01/2021,Ano Novo,NACIONAL,"O Ano-Novo ou Réveillon é um evento que acontece quando uma cultura celebra o fim de um ano e o começo do próximo. A celebração do evento é também chamada Réveillon, termo oriundo do verbo francês réveiller, que em português significa DESPERTAR",,
02/04/2021,Sexta-Feira Santa,NACIONAL,"Também chamada de ""Sexta Feira da Paixão"" é a sexta-feira que ocorre antes do domingo de Páscoa, e é o dia que os cristãos lembram da crucificação de Cristo.",,
21/04/2021,Tiradentes,NACIONAL,"Joaquim José da Silva Xavier, o Tiradentes foi um dentista, tropeiro, minerador, comerciante, militar e ativista político. É reconhecido como mártir da Inconfidência Mineira e herói nacional. O dia de sua execução, 21 de abril, é feriado nacional.",,
01/05/2021,Trabalho,NACIONAL,"O Dia do Trabalhador ou Dia Internacional dos Trabalhadores é celebrado anualmente no dia 1º de Maio em numerosos países do mundo, sendo feriado no Brasil, em Portugal e em outros países.",,
07/09/2021,Independência do Brasil,NACIONAL,"O Dia da Indepência do Brasil, oficialmente a data comemorada é a de 7 de setembro de 1822, em que ocorreu o chamado ""Grito do Ipiranga"".",,
12/10/2021,Nossa Senhora Aparecida,NACIONAL,"Nossa Senhora da Conceição Aparecida é a padroeira do Brasil. Sua festa é celebrada em 12 de outubro, um feriado nacional desde que o Papa João Paulo II consagrou a Basílica em 1980.",,
02/11/2021,Finados,NACIONAL,"O Dia de Finados ou Dia dos Fiéis Defuntos, (conhecido ainda como Dia dos Mortos no México), é celebrado pela Igreja Católica no dia 2 de novembro e é Feriado Nacional.",,
15/11/2021,Proclamação da República,NACIONAL,"A Proclamação da República foi um levante político-militar ocorrido em 15 de novembro de 1889 que instaurou a forma Republicana Federativa Presidencialista de governo no Brasil, derrubando a Monarquia e, por conseguinte, o imperador dom Pedro II.",,
25/12/2021,Natal,NACIONAL,"O Natal é comemorado anualmente em 25 de Dezembro. Originalmente destinado a celebrar o nascimento anual do Deus Sol no solstício de inverno, foi adaptado pela Igreja Católica no 3o século d.C., para permitir a conversão dos povos pagãos sob o domínio do Império Romano, passando a comemorar o nascimento de Jesus de Nazaré.",,
28/04/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200013.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200013.0
02/08/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AL,2700607.0
14/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200054.0
31/05/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200054.0
15/08/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200054.0
03/07/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200104.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200104.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200138.0
06/09/2021,Feriado Municipal,MUNICIPAL,Feriado Municipal,AC,1200179.0
15/08/2021,Nossa Sra da Glória,MUNICIPAL,"Nossa Senhora da Glória. Feriado movido para Sexta-Feira, segundo decreto municipal",AC,1200203.0
