ID,DATA,DIA_SEMANA,HORARIO,ESTADO,MUNICIPIO,CAUSA_ACIDENTE,TIPO_ACIDENTE,CLASSIFICACAO_ACIDENTE,FASE_DIA,SENTIDO_VIA,CONDICAO_METEREOLOGICA,TIPO_PISTA,TRACADO_VIA,PESSOAS,MORTOS,ILESOS,FERIDOS,VEICULOS,REGIONAL,MES
343165,27/02/2021,sábado,01:07:00,SP,JACUPIRANGA,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Crescente,Garoa/Chuvisco,Dupla,Reta,2,1,1,0,1,SR-SP,
343231,27/02/2021,sábado,11:18:00,SP,MARILIA,Animais na Pista,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,1,0,0,1,1,SR-SP,
343263,27/02/2021,sábado,13:30:00,SP,TAUBATE,Pedestre andava na pista,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,3,0,2,1,1,SR-SP,
343280,27/02/2021,sábado,15:40:00,SP,MIRACATU,Ausência de reação do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,2,0,0,2,1,SR-SP,
343290,27/02/2021,sábado,16:30:00,SP,SAO JOSE DO RIO PRETO,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,1,0,0,1,1,SR-SP,
343291,27/02/2021,sábado,14:15:00,SP,MIRACATU,Ausência de reação do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Curva,2,0,0,2,1,SR-SP,
343300,27/02/2021,sábado,17:10:00,SP,NOVA GRANADA,Acessar a via sem observar a presença dos outros veículos,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,3,0,1,1,2,SR-SP,
343304,27/02/2021,sábado,16:00:00,SP,GUARATINGUETA,Avarias e/ou desgaste excessivo no pneu,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,2,0,1,1,1,SR-SP,
343339,27/02/2021,sábado,20:10:00,SP,REGISTRO,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Decrescente,Chuva,Dupla,Curva,2,1,0,0,1,SR-SP,
343356,27/02/2021,sábado,21:20:00,SP,MAIRIPORA,Pista Escorregadia,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Curva,1,0,0,1,1,SR-SP,
343362,27/02/2021,sábado,22:20:00,SP,GUARULHOS,Demais falhas mecânicas ou elétricas,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Múltipla,Reta,1,0,0,1,1,SR-SP,
343367,27/02/2021,sábado,21:50:00,SP,JACAREI,Ingestão de álcool pelo condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,2,0,1,1,2,SR-SP,
343385,28/02/2021,domingo,02:00:00,SP,SAO JOSE DOS CAMPOS,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Retorno Regulamentado,1,0,0,1,1,SR-SP,
343392,28/02/2021,domingo,00:50:00,SP,SAO PAULO,Chuva,Capotamento,Com Vítimas Feridas,Plena Noite,Crescente,Nevoeiro/Neblina,Dupla,Curva,2,0,1,1,1,SR-SP,
343401,28/02/2021,domingo,05:50:00,SP,ARUJA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Curva,2,0,0,1,2,SR-SP,
343409,28/02/2021,domingo,06:45:00,SP,GUARULHOS,Velocidade Incompatível,Colisão lateral mesmo sentido,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Dupla,Reta,1,0,0,1,1,SR-SP,
343415,28/02/2021,domingo,03:00:00,SP,SAO PAULO,Velocidade Incompatível,Capotamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,1,0,0,1,1,SR-SP,
343425,28/02/2021,domingo,03:30:00,SP,UBATUBA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,2,0,0,1,2,SR-SP,
343429,09/02/2021,terça-feira,04:50:00,SP,MIRACATU,Velocidade Incompatível,Tombamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Curva,1,0,1,0,1,SR-SP,9.0
343435,28/02/2021,domingo,08:30:00,SP,MIRACATU,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Não Informado,4,0,1,3,2,SR-SP,
